Algorithm;Condition;Time;Score
ExpectimaxAgent;Win;24;948
ExpectimaxAgent;Win;14;1088
ExpectimaxAgent;Win;16;1025
ExpectimaxAgent;Win;32;915
ExpectimaxAgent;Win;49;501
ExpectimaxAgent;Win;26;905
ExpectimaxAgent;Win;24;758
ExpectimaxAgent;Win;27;247
ExpectimaxAgent;Win;48;501
ExpectimaxAgent;Win;22;1089
ExpectimaxAgent;Win;14;1049
ExpectimaxAgent;Win;10;1083
ExpectimaxAgent;Win;14;991
ExpectimaxAgent;Win;41;506
ExpectimaxAgent;Win;13;1086
ExpectimaxAgent;Win;52;491
ExpectimaxAgent;Win;40;502
ExpectimaxAgent;Win;20;916
ExpectimaxAgent;Win;10;1097
ExpectimaxAgent;Win;25;1115
ExpectimaxAgent;Win;26;488
ExpectimaxAgent;Win;39;492
ExpectimaxAgent;Win;10;1086
ExpectimaxAgent;Win;13;1111
ExpectimaxAgent;Win;15;1008
ExpectimaxAgent;Win;103;1075
ExpectimaxAgent;Win;13;1150
ExpectimaxAgent;Win;55;512
ExpectimaxAgent;Win;37;494
ExpectimaxAgent;Win;9;1137
ExpectimaxAgent;Win;302;1068
ExpectimaxAgent;Win;10;1107
ExpectimaxAgent;Win;8;1150
ExpectimaxAgent;Win;30;741
ExpectimaxAgent;Win;44;516
ExpectimaxAgent;Win;14;1106
ExpectimaxAgent;Win;724;642
ExpectimaxAgent;Win;24;585
ExpectimaxAgent;Win;48;856
ExpectimaxAgent;Win;14;1032
ExpectimaxAgent;Win;46;620
ExpectimaxAgent;Win;12;1087
ExpectimaxAgent;Win;18;1047
ExpectimaxAgent;Win;10;1142
ExpectimaxAgent;Win;16;959
ExpectimaxAgent;Win;10;1113
ExpectimaxAgent;Win;1113;1008
ExpectimaxAgent;Win;9;1121
ExpectimaxAgent;Win;14;1116
ExpectimaxAgent;Win;8;1105
ExpectimaxAgent;Win;30;491
ExpectimaxAgent;Win;22;1039
ExpectimaxAgent;Win;43;508
ExpectimaxAgent;Win;11;1060
ExpectimaxAgent;Win;13;1140
ExpectimaxAgent;Win;19;940
ExpectimaxAgent;Win;46;520
ExpectimaxAgent;Win;18;1068
ExpectimaxAgent;Win;66;502
ExpectimaxAgent;Win;14;1093
ExpectimaxAgent;Win;26;1066
ExpectimaxAgent;Win;17;1012
ExpectimaxAgent;Win;40;515
ExpectimaxAgent;Win;52;652
ExpectimaxAgent;Win;7;1127
ExpectimaxAgent;Win;18;725
ExpectimaxAgent;Win;9;1082
ExpectimaxAgent;Win;16;821
ExpectimaxAgent;Win;51;719
ExpectimaxAgent;Win;15;1063
ExpectimaxAgent;Win;16;988
ExpectimaxAgent;Win;12;1022
ExpectimaxAgent;Win;14;1108
ExpectimaxAgent;Win;20;1057
ExpectimaxAgent;Win;11;1124
ExpectimaxAgent;Win;61;1033
ExpectimaxAgent;Win;30;972
ExpectimaxAgent;Win;15;1089
ExpectimaxAgent;Win;11;1107
ExpectimaxAgent;Win;54;525
ExpectimaxAgent;Win;26;865
ExpectimaxAgent;Win;48;563
ExpectimaxAgent;Win;49;550
ExpectimaxAgent;Win;16;990
ExpectimaxAgent;Win;18;963
ExpectimaxAgent;Win;48;563
ExpectimaxAgent;Win;16;998
ExpectimaxAgent;Win;48;500
ExpectimaxAgent;Win;19;952
ExpectimaxAgent;Win;49;484
ExpectimaxAgent;Win;14;1029
ExpectimaxAgent;Win;40;501
ExpectimaxAgent;Win;24;843
ExpectimaxAgent;Win;14;1057
ExpectimaxAgent;Win;26;800
ExpectimaxAgent;Win;19;950
