ExpectimaxAgent,Win,26,645
ExpectimaxAgent,Lose,111,-1162
ExpectimaxAgent,Win,42,475
ExpectimaxAgent,Win,132,502
ExpectimaxAgent,Win,51,1061
ExpectimaxAgent,Win,108,1079
ExpectimaxAgent,Win,111,1070
ExpectimaxAgent,Win,215,466
ExpectimaxAgent,Win,140,493
ExpectimaxAgent,Win,52,512
ExpectimaxAgent,Win,24,1130
ExpectimaxAgent,Win,10,1114
ExpectimaxAgent,Win,13,1077
ExpectimaxAgent,Win,41,517
ExpectimaxAgent,Win,12,1126
ExpectimaxAgent,Win,29,502
ExpectimaxAgent,Win,56,1079
ExpectimaxAgent,Win,11,1121
ExpectimaxAgent,Win,13,1116
ExpectimaxAgent,Win,10,1109
ExpectimaxAgent,Win,14,1133
ExpectimaxAgent,Win,16,1052
ExpectimaxAgent,Win,10,1121
ExpectimaxAgent,Win,20,818
ExpectimaxAgent,Win,17,1041
ExpectimaxAgent,Win,145,582
ExpectimaxAgent,Win,25,961
ExpectimaxAgent,Win,12,1105
ExpectimaxAgent,Win,23,981
ExpectimaxAgent,Win,10,1097
ExpectimaxAgent,Win,12,1087
ExpectimaxAgent,Win,35,708
ExpectimaxAgent,Win,537,971
ExpectimaxAgent,Win,58,442
ExpectimaxAgent,Win,11,1142
ExpectimaxAgent,Win,15,1094
ExpectimaxAgent,Win,14,1077
ExpectimaxAgent,Win,89,517
ExpectimaxAgent,Win,64,770
ExpectimaxAgent,Win,1121,512
ExpectimaxAgent,Win,9,1146
ExpectimaxAgent,Win,28,809
ExpectimaxAgent,Win,12,1111
ExpectimaxAgent,Win,30,848
ExpectimaxAgent,Win,15,1142
ExpectimaxAgent,Win,25,855
ExpectimaxAgent,Win,23,1047
ExpectimaxAgent,Win,34,955
ExpectimaxAgent,Win,34,729
ExpectimaxAgent,Win,1486,529
